rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,ord,thstrm_add_amount,frmtrm_add_amount
20210513000749,11014,2021,00877174,169330,OFS,재무제표,BS,재무상태표,자본총계,제 23 기3분기말,2021.03.31 현재,"21,876,454,042",제 22 기말,2020.06.30 현재,"21,182,414,419",22,,
20210513000749,11014,2021,00877174,169330,OFS,재무제표,IS,손익계산서,매출액,제 23 기3분기,2020.07.01 ~ 2021.03.31,"6,360,200,094",제 22 기3분기,2019.07.01 ~ 2020.03.31,"8,019,782,795",24,"25,433,405,393","30,236,192,859"
20210513000749,11014,2021,00877174,169330,OFS,재무제표,IS,손익계산서,영업이익,제 23 기3분기,2020.07.01 ~ 2021.03.31,"401,123,739",제 22 기3분기,2019.07.01 ~ 2020.03.31,"395,604,033",26,"3,394,075,900","4,553,388,466"
20210513000749,11014,2021,00877174,169330,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 23 기3분기,2020.07.01 ~ 2021.03.31,"365,499,891",제 22 기3분기,2019.07.01 ~ 2020.03.31,"432,908,884",28,"3,268,454,434","4,561,015,730"
20210513000749,11014,2021,00877174,169330,OFS,재무제표,IS,손익계산서,당기순이익,제 23 기3분기,2020.07.01 ~ 2021.03.31,"298,870,054",제 22 기3분기,2019.07.01 ~ 2020.03.31,"298,287,748",30,"2,584,594,459","3,557,592,270"
20210517001165,11014,2021,00125576,033250,CFS,연결재무제표,BS,재무상태표,유동자산,제 32 기3분기말,2021.03.31 현재,"19,446,920,630",제 31 기말,2020.06.30 현재,"18,047,438,209",1,,
20210517001165,11014,2021,00125576,033250,CFS,연결재무제표,BS,재무상태표,비유동자산,제 32 기3분기말,2021.03.31 현재,"57,210,911,904",제 31 기말,2020.06.30 현재,"60,586,825,305",3,,
20210517001165,11014,2021,00125576,033250,CFS,연결재무제표,BS,재무상태표,자산총계,제 32 기3분기말,2021.03.31 현재,"76,657,832,534",제 31 기말,2020.06.30 현재,"78,634,263,514",5,,
20210517001165,11014,2021,00125576,033250,CFS,연결재무제표,BS,재무상태표,유동부채,제 32 기3분기말,2021.03.31 현재,"26,358,172,104",제 31 기말,2020.06.30 현재,"35,454,407,234",7,,
20210517001165,11014,2021,00125576,033250,CFS,연결재무제표,BS,재무상태표,비유동부채,제 32 기3분기말,2021.03.31 현재,"16,678,849,984",제 31 기말,2020.06.30 현재,"20,290,230,165",9,,
20210517001165,11014,2021,00125576,033250,CFS,연결재무제표,BS,재무상태표,부채총계,제 32 기3분기말,2021.03.31 현재,"43,037,022,088",제 31 기말,2020.06.30 현재,"55,744,637,399",11,,
20210517001165,11014,2021,00125576,033250,CFS,연결재무제표,BS,재무상태표,자본금,제 32 기3분기말,2021.03.31 현재,"16,000,000,000",제 31 기말,2020.06.30 현재,"12,000,000,000",13,,
20210517001165,11014,2021,00125576,033250,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 32 기3분기말,2021.03.31 현재,"-8,304,045,247",제 31 기말,2020.06.30 현재,"-6,191,157,178",17,,
20210517001165,11014,2021,00125576,033250,CFS,연결재무제표,BS,재무상태표,자본총계,제 32 기3분기말,2021.03.31 현재,"33,620,810,446",제 31 기말,2020.06.30 현재,"22,889,626,115",21,,
20210517001165,11014,2021,00125576,033250,CFS,연결재무제표,IS,손익계산서,매출액,제 32 기3분기,2020.07.01 ~ 2021.03.31,"11,476,402,985",제 31 기3분기,2019.07.01 ~ 2020.03.31,"12,885,791,477",23,"33,255,484,230","40,101,884,663"
20210517001165,11014,2021,00125576,033250,CFS,연결재무제표,IS,손익계산서,영업이익,제 32 기3분기,2020.07.01 ~ 2021.03.31,"-344,562,227",제 31 기3분기,2019.07.01 ~ 2020.03.31,"-160,941,703",25,"-1,520,732,520","-556,721,929"
20210517001165,11014,2021,00125576,033250,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 32 기3분기,2020.07.01 ~ 2021.03.31,"900,508,732",제 31 기3분기,2019.07.01 ~ 2020.03.31,"115,569,438",27,"-2,112,888,069","-55,535,975"
20210517001165,11014,2021,00125576,033250,CFS,연결재무제표,IS,손익계산서,당기순이익,제 32 기3분기,2020.07.01 ~ 2021.03.31,"900,508,732",제 31 기3분기,2019.07.01 ~ 2020.03.31,"115,569,438",29,"-2,112,888,069","268,600,934"
20210517001165,11014,2021,00125576,033250,OFS,재무제표,BS,재무상태표,유동자산,제 32 기3분기말,2021.03.31 현재,"15,767,869,195",제 31 기말,2020.06.30 현재,"13,171,304,217",2,,
20210517001165,11014,2021,00125576,033250,OFS,재무제표,BS,재무상태표,비유동자산,제 32 기3분기말,2021.03.31 현재,"58,345,309,056",제 31 기말,2020.06.30 현재,"60,652,331,744",4,,
20210517001165,11014,2021,00125576,033250,OFS,재무제표,BS,재무상태표,자산총계,제 32 기3분기말,2021.03.31 현재,"74,113,178,251",제 31 기말,2020.06.30 현재,"73,823,635,961",6,,
20210517001165,11014,2021,00125576,033250,OFS,재무제표,BS,재무상태표,유동부채,제 32 기3분기말,2021.03.31 현재,"24,244,858,697",제 31 기말,2020.06.30 현재,"31,887,225,027",8,,
20210517001165,11014,2021,00125576,033250,OFS,재무제표,BS,재무상태표,비유동부채,제 32 기3분기말,2021.03.31 현재,"16,678,849,984",제 31 기말,2020.06.30 현재,"20,290,230,165",10,,
20210517001165,11014,2021,00125576,033250,OFS,재무제표,BS,재무상태표,부채총계,제 32 기3분기말,2021.03.31 현재,"40,923,708,681",제 31 기말,2020.06.30 현재,"52,177,455,192",12,,
20210517001165,11014,2021,00125576,033250,OFS,재무제표,BS,재무상태표,자본금,제 32 기3분기말,2021.03.31 현재,"16,000,000,000",제 31 기말,2020.06.30 현재,"12,000,000,000",15,,
20210517001165,11014,2021,00125576,033250,OFS,재무제표,BS,재무상태표,이익잉여금,제 32 기3분기말,2021.03.31 현재,"-7,868,551,006",제 31 기말,2020.06.30 현재,"-7,104,727,603",19,,
20210517001165,11014,2021,00125576,033250,OFS,재무제표,BS,재무상태표,자본총계,제 32 기3분기말,2021.03.31 현재,"33,189,469,570",제 31 기말,2020.06.30 현재,"21,646,180,769",22,,
20210517001165,11014,2021,00125576,033250,OFS,재무제표,IS,손익계산서,매출액,제 32 기3분기,2020.07.01 ~ 2021.03.31,"8,501,445,153",제 31 기3분기,2019.07.01 ~ 2020.03.31,"10,780,195,559",24,"27,831,070,943","29,979,050,023"
20210517001165,11014,2021,00125576,033250,OFS,재무제표,IS,손익계산서,영업이익,제 32 기3분기,2020.07.01 ~ 2021.03.31,"477,698,597",제 31 기3분기,2019.07.01 ~ 2020.03.31,"145,303,100",26,"814,882,026","-312,059,225"
20210517001165,11014,2021,00125576,033250,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 32 기3분기,2020.07.01 ~ 2021.03.31,"1,300,045,755",제 31 기3분기,2019.07.01 ~ 2020.03.31,"902,359,453",28,"-763,823,403","-55,384,325"
20210517001165,11014,2021,00125576,033250,OFS,재무제표,IS,손익계산서,당기순이익,제 32 기3분기,2020.07.01 ~ 2021.03.31,"1,300,045,755",제 31 기3분기,2019.07.01 ~ 2020.03.31,"902,359,453",30,"-763,823,403","268,752,584"
20210517001065,11014,2021,00814786,131100,CFS,연결재무제표,BS,재무상태표,유동자산,제 15 기3분기말,2021.03.31 현재,"23,364,934,058",제 14 기말,2020.06.30 현재,"16,243,115,570",1,,
20210517001065,11014,2021,00814786,131100,CFS,연결재무제표,BS,재무상태표,비유동자산,제 15 기3분기말,2021.03.31 현재,"35,417,930,180",제 14 기말,2020.06.30 현재,"37,485,398,480",3,,
20210517001065,11014,2021,00814786,131100,CFS,연결재무제표,BS,재무상태표,자산총계,제 15 기3분기말,2021.03.31 현재,"58,782,864,238",제 14 기말,2020.06.30 현재,"53,728,514,050",5,,
20210517001065,11014,2021,00814786,131100,CFS,연결재무제표,BS,재무상태표,유동부채,제 15 기3분기말,2021.03.31 현재,"22,623,328,726",제 14 기말,2020.06.30 현재,"37,534,573,739",7,,
20210517001065,11014,2021,00814786,131100,CFS,연결재무제표,BS,재무상태표,비유동부채,제 15 기3분기말,2021.03.31 현재,"1,758,239,288",제 14 기말,2020.06.30 현재,"1,101,333,173",9,,
20210517001065,11014,2021,00814786,131100,CFS,연결재무제표,BS,재무상태표,부채총계,제 15 기3분기말,2021.03.31 현재,"24,381,568,014",제 14 기말,2020.06.30 현재,"38,635,906,912",11,,
20210517001065,11014,2021,00814786,131100,CFS,연결재무제표,BS,재무상태표,자본금,제 15 기3분기말,2021.03.31 현재,"4,369,348,500",제 14 기말,2020.06.30 현재,"2,926,908,400",13,,
20210517001065,11014,2021,00814786,131100,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 15 기3분기말,2021.03.31 현재,"-94,513,601,795",제 14 기말,2020.06.30 현재,"-77,824,484,323",17,,
20210517001065,11014,2021,00814786,131100,CFS,연결재무제표,BS,재무상태표,자본총계,제 15 기3분기말,2021.03.31 현재,"34,401,296,224",제 14 기말,2020.06.30 현재,"15,092,607,138",21,,
20210517001065,11014,2021,00814786,131100,CFS,연결재무제표,IS,손익계산서,매출액,제 15 기3분기,2020.07.01 ~ 2021.03.31,"5,243,603,169",제 14 기3분기,2019.07.01 ~ 2020.03.31,"4,118,816,872",23,"17,372,821,432","18,788,550,372"
20210517001065,11014,2021,00814786,131100,CFS,연결재무제표,IS,손익계산서,영업이익,제 15 기3분기,2020.07.01 ~ 2021.03.31,"-2,373,116,335",제 14 기3분기,2019.07.01 ~ 2020.03.31,"-4,761,244,860",25,"-7,702,159,784","-11,107,686,218"
